date,ticker,close,volume,daily_return,cum_return,ma20
2025-04-30,2317.TW,136.54110717773438,,,,
2025-04-30,2330.TW,894.6502685546875,,,,
2025-04-30,2337.tw,19.850000381469727,,,,
2025-04-30,2344.tw,15.66796875,,,,
2025-04-30,2454.TW,1298.761474609375,,,,
2025-05-02,2317.TW,142.33082580566406,,0.0424027514321621,0.0424027514321621,
2025-05-02,2330.TW,936.0327758789062,,0.0462555132197886,0.0462555132197886,
2025-05-02,2337.tw,20.0,,0.007556655700132975,0.007556655700132975,
2025-05-02,2344.tw,15.86692714691162,,0.01269841675626382,0.01269841675626382,
2025-05-02,2454.TW,1250.6593017578125,,-0.03703695697166409,-0.03703695697166409,
2025-05-05,2317.TW,137.5060577392578,,-0.03389826510944227,0.007067106613302565,
2025-05-05,2330.TW,924.209228515625,,-0.01263155272760541,0.03303968153800496,
2025-05-05,2337.tw,19.700000762939453,,-0.014999961853027322,-0.007556655700132753,
2025-05-05,2344.tw,15.369531631469728,,-0.03134794222198878,-0.019047594700511095,
2025-05-05,2454.TW,1245.8489990234375,,-0.0038462135352242965,-0.04074071846168048,
2025-05-06,2317.TW,140.88339233398438,,0.024561351334286163,0.0318020356360349,
2025-05-06,2330.TW,906.473876953125,,-0.019189758136244572,0.013215899904147621,
2025-05-06,2337.tw,20.549999237060547,,0.04314712899504802,0.035264425296650526,
2025-05-06,2344.tw,15.618228912353516,,0.016181188005402136,-0.0031746194060086053,
2025-05-06,2454.TW,1231.4183349609375,,-0.011582996072406426,-0.05185181495215829,
2025-05-07,2317.TW,139.91844177246094,,-0.006849285395086779,0.02473492902273211,
2025-05-07,2330.TW,914.3562622070312,,0.0086956562724132,0.02202647709945782,
2025-05-07,2337.tw,20.399999618530277,,-0.007299251780980898,0.027707769596517773,
2025-05-07,2344.tw,15.469011306762695,,-0.00955406700901884,-0.012698355888494328,
2025-05-07,2454.TW,1226.6080322265625,,-0.003906310794477119,-0.05555557644217457,
2025-05-08,2317.TW,140.88339233398438,,0.006896521640032738,0.0318020356360349,
2025-05-08,2330.TW,904.5032348632812,,-0.010775917168180382,0.01101320443854692,
2025-05-08,2337.tw,20.200000762939453,,-0.009803865653465804,0.01763226069237045,
2025-05-08,2344.tw,15.51875114440918,,0.003215450338751813,-0.009523736482485723,
2025-05-08,2454.TW,1241.0386962890625,,0.011764690661861366,-0.04444447995169676,
2025-05-09,2317.TW,141.84835815429688,,0.006849393703020068,0.03886925400168373,
2025-05-09,2330.TW,935.0474853515624,,0.03376908927572608,0.04515419959817013,
2025-05-09,2337.tw,20.25,,0.0024752096619857777,0.020151113896384576,
2025-05-09,2344.tw,15.469011306762695,,-0.003205144356245637,-0.012698355888494106,
2025-05-09,2454.TW,1274.7103271484375,,0.027131813826643425,-0.018518525480724746,
2025-05-12,2317.TW,147.63807678222656,,0.040816254084744985,0.08127200543384583,
2025-05-12,2330.TW,942.929931640625,,0.008429995708826521,0.05396484501584475,
2025-05-12,2337.tw,20.75,,0.024691358024691468,0.045340030288888,
2025-05-12,2344.tw,16.463802337646484,,0.06430863687124533,0.050793667025056166,
2025-05-12,2454.TW,1265.08984375,,-0.007547191854920365,-0.0259259544709719,
2025-05-13,2317.TW,152.46286010742188,,0.03267980341082399,0.11660776200505141,
2025-05-13,2330.TW,954.75341796875,,0.012539093236284327,0.06718060847526441,
2025-05-13,2337.tw,21.200000762939453,,0.021686783756118322,0.0680100934773773,
2025-05-13,2344.tw,17.80677032470703,,0.08157094937842446,0.13650790404512603,
2025-05-13,2454.TW,1303.57177734375,,0.030418340471125127,0.0037037614900163884,
2025-05-14,2317.TW,157.28762817382812,,0.0316455303475669,0.15194340682391094,
2025-05-14,2330.TW,984.3124389648438,,0.030959848312437588,0.10022035823563336,
2025-05-14,2337.tw,21.399999618530277,,0.009433907943081188,0.0780856023815244,
2025-05-14,2344.tw,18.055469512939453,,0.01396655225497856,0.1523810010751685,
2025-05-14,2454.TW,1308.3819580078125,,0.0036900006180435874,0.007407428990247267,
2025-05-15,2317.TW,153.91029357910156,,-0.021472347405442904,0.1272084778011784,
2025-05-15,2330.TW,978.400634765625,,-0.0060060240683699195,0.09361240828355966,
2025-05-15,2337.tw,21.549999237060547,,0.007009328093650291,0.08564225808165715,
2025-05-15,2344.tw,18.00572967529297,,-0.0027548349053364563,0.14920638166916,
2025-05-15,2454.TW,1318.0023193359375,,0.0073528691443998095,0.014814763990708801,
2025-05-16,2317.TW,152.46286010742188,,-0.009404396795174574,0.11660776200505141,
2025-05-16,2330.TW,983.3270263671876,,0.005035147593442257,0.09911890816928715,
2025-05-16,2337.tw,21.399999618530277,,-0.006960539389361475,0.0780856023815244,
