Date,2330.TW,2454.TW,2317.TW,2337.tw,2344.tw
2025-04-30,894.6502685546875,1298.761474609375,136.54110717773438,19.850000381469727,15.66796875
2025-05-02,936.0327758789062,1250.6593017578125,142.33082580566406,20.0,15.866927146911621
2025-05-05,924.209228515625,1245.8489990234375,137.5060577392578,19.700000762939453,15.369531631469727
2025-05-06,906.473876953125,1231.4183349609375,140.88339233398438,20.549999237060547,15.618228912353516
2025-05-07,914.3562622070312,1226.6080322265625,139.91844177246094,20.399999618530273,15.469011306762695
2025-05-08,904.5032348632812,1241.0386962890625,140.88339233398438,20.200000762939453,15.51875114440918
2025-05-09,935.0474853515625,1274.7103271484375,141.84835815429688,20.25,15.469011306762695
2025-05-12,942.929931640625,1265.08984375,147.63807678222656,20.75,16.463802337646484
2025-05-13,954.75341796875,1303.57177734375,152.46286010742188,21.200000762939453,17.80677032470703
2025-05-14,984.3124389648438,1308.3819580078125,157.28762817382812,21.399999618530273,18.055469512939453
2025-05-15,978.400634765625,1318.0023193359375,153.91029357910156,21.549999237060547,18.00572967529297
2025-05-16,983.3270263671875,1313.192138671875,152.46286010742188,21.399999618530273,17.85651206970215
2025-05-19,969.5328979492188,1260.2796630859375,148.60304260253906,21.350000381469727,17.65755271911621
2025-05-20,963.6211547851562,1265.08984375,148.60304260253906,21.899999618530273,18.453384399414062
2025-05-21,975.4447631835938,1289.14111328125,149.5679931640625,22.0,18.055469512939453
2025-05-22,967.5623168945312,1274.7103271484375,147.63807678222656,21.600000381469727,17.75703239440918
2025-05-23,969.5328979492188,1265.08984375,148.60304260253906,21.100000381469727,17.65755271911621
2025-05-26,961.6505737304688,1231.4183349609375,147.63807678222656,21.100000381469727,17.359115600585938
2025-05-27,950.812255859375,1231.4183349609375,146.67312622070312,21.200000762939453,17.25963592529297
2025-05-28,952.7828979492188,1231.4183349609375,146.67312622070312,21.700000762939453,17.309375762939453
2025-05-29,952.7828979492188,1212.177490234375,150.53294372558594,21.549999237060547,17.607812881469727
2025-06-02,932.0916137695312,1212.177490234375,147.15560913085938,21.600000381469727,16.811979293823242
2025-06-03,936.0327758789062,1226.6080322265625,146.19065856933594,21.25,16.613021850585938
2025-06-04,975.4447631835938,1226.6080322265625,150.53294372558594,21.600000381469727,17.558073043823242
2025-06-05,983.3270263671875,1197.7467041015625,150.05047607421875,22.049999237060547,18.00572967529297
2025-06-06,980.3712158203125,1231.4183349609375,147.63807678222656,21.850000381469727,18.254426956176758
2025-06-09,990.2241821289062,1236.228515625,149.08551025390625,21.850000381469727,18.304166793823242
2025-06-10,1029.6361083984375,1284.330810546875,150.05047607421875,21.799999237060547,18.702083587646484
2025-06-11,1049.342041015625,1265.08984375,150.53294372558594,22.049999237060547,18.702083587646484
2025-06-12,1034.0052490234375,1236.228515625,151.98037719726562,22.100000381469727,18.702083587646484
2025-06-13,1019.1629028320312,1202.556884765625,151.0154266357422,21.600000381469727,18.353906631469727
2025-06-16,1014.215576171875,1207.3671875,149.5679931640625,21.899999618530273,18.304166793823242
2025-06-17,1034.0052490234375,1226.6080322265625,149.5679931640625,22.100000381469727,18.65234375
2025-06-18,1043.89990234375,1236.228515625,150.53294372558594,22.799999237060547,19.547657012939453
2025-06-19,1024.1103515625,1216.9876708984375,148.60304260253906,22.200000762939453,19.49791717529297
2025-06-20,1043.89990234375,1202.556884765625,150.05047607421875,21.25,18.851303100585938
2025-06-23,1009.2681884765625,1207.3671875,150.53294372558594,21.350000381469727,19.49791717529297
2025-06-24,1038.9525146484375,1221.7978515625,154.875244140625,22.149999618530273,19.945571899414062
2025-06-25,1058.7420654296875,1245.8489990234375,156.3226776123047,21.700000762939453,20.14453125
2025-06-26,1063.689453125,1241.0386962890625,157.28762817382812,21.700000762939453,20.74140739440918
2025-06-27,1068.6368408203125,1236.228515625,159.21754455566406,21.850000381469727,21.039844512939453
2025-06-30,1048.847412109375,1202.556884765625,155.35772705078125,21.25,20.04505157470703
2025-07-01,1073.584228515625,1226.6080322265625,159.70001220703125,21.25,19.746614456176758
2025-07-02,1073.584228515625,1245.8489990234375,162.0,21.149999618530273,19.448177337646484
2025-07-03,1078.53173828125,1245.8492431640625,164.0,22.25,19.647136688232422
2025-07-04,1073.584228515625,1265.4688720703125,161.0,21.350000381469727,19.050260543823242
2025-07-07,1068.6368408203125,1255.6590576171875,161.0,21.450000762939453,19.000520706176758
2025-07-08,1068.6368408203125,1245.8492431640625,159.0,20.899999618530273,18.801563262939453
2025-07-09,1078.53173828125,1329.2327880859375,161.0,21.0,18.851303100585938
2025-07-10,1088.4263916015625,1373.3770751953125,161.5,20.899999618530273,18.40364646911621
2025-07-11,1088.4263916015625,1392.9967041015625,161.5,20.75,18.353906631469727
2025-07-14,1083.4791259765625,1358.662353515625,160.5,20.399999618530273,18.154949188232422
2025-07-15,1098.3212890625,1368.47216796875,163.0,20.149999618530273,17.80677032470703
2025-07-16,1118.1107177734375,1383.1868896484375,162.5,20.25,17.558073043823242
2025-07-17,1118.1107177734375,1363.5672607421875,164.0,20.850000381469727,17.80677032470703
2025-07-18,1142.8477783203125,1383.1868896484375,165.5,20.75,17.558073043823242
2025-07-21,1137.900390625,1397.901611328125,165.0,20.399999618530273,17.309375762939453
2025-07-22,1118.1107177734375,1402.8065185546875,162.0,19.899999618530273,17.06067657470703
2025-07-23,1132.952880859375,1402.8065185546875,166.0,20.5,17.508333206176758
2025-07-24,1132.952880859375,1402.8065185546875,174.0,20.200000762939453,17.25963592529297
2025-07-25,1132.952880859375,1402.8065185546875,174.5,20.100000381469727,17.359115600585938
2025-07-28,1132.952880859375,1373.3770751953125,176.0,19.899999618530273,17.408855438232422
2025-07-29,1123.0582275390625,1334.1376953125,171.5,19.5,17.309375762939453
2025-07-30,1142.8477783203125,1353.7574462890625,171.5,19.600000381469727,17.75703239440918
2025-07-31,1147.795166015625,1343.947509765625,178.0,18.950000762939453,17.25963592529297
2025-08-04,1123.0582275390625,1304.708251953125,180.0,18.450000762939453,17.25963592529297
2025-08-05,1137.900390625,1314.51806640625,184.5,18.649999618530273,17.508333206176758
2025-08-06,1113.163330078125,1294.8983154296875,186.0,18.299999237060547,16.961196899414062
2025-08-07,1167.584716796875,1329.2327880859375,194.5,18.299999237060547,16.4140625
2025-08-08,1162.63720703125,1324.327880859375,194.5,19.049999237060547,17.359115600585938
2025-08-11,1167.584716796875,1329.2327880859375,198.0,19.0,17.309375762939453
2025-08-12,1167.584716796875,1334.1376953125,197.0,19.25,18.353906631469727
2025-08-13,1187.374267578125,1343.947509765625,198.5,19.350000381469727,18.00572967529297
2025-08-14,1162.63720703125,1363.5672607421875,199.5,19.5,17.90625
2025-08-15,1167.584716796875,1343.947509765625,207.0,19.649999618530273,18.304166793823242
2025-08-18,1167.584716796875,1383.1868896484375,210.0,19.75,19.000520706176758
2025-08-19,1172.5321044921875,1363.5672607421875,208.0,19.549999237060547,18.50312614440918
2025-08-20,1123.0582275390625,1329.2327880859375,200.5,19.0,17.90625
2025-08-21,1137.900390625,1339.0426025390625,206.0,20.100000381469727,18.304166793823242
2025-08-22,1123.0582275390625,1339.0426025390625,202.5,19.700000762939453,18.105209350585938
2025-08-25,1157.6898193359375,1383.1868896484375,207.5,20.0,18.304166793823242
2025-08-26,1162.63720703125,1373.3770751953125,209.0,20.149999618530273,18.65234375
2025-08-27,1177.4794921875,1373.3770751953125,208.0,20.399999618530273,19.696874618530273
2025-08-28,1147.795166015625,1358.662353515625,206.0,20.100000381469727,19.49791717529297
2025-08-29,1147.795166015625,1343.947509765625,203.5,20.100000381469727,19.597396850585938
2025-09-01,1152.74267578125,1334.1376953125,198.5,19.950000762939453,20.194271087646484
2025-09-02,1147.795166015625,1334.1376953125,198.5,19.75,19.846094131469727
2025-09-03,1147.795166015625,1368.47216796875,200.5,19.700000762939453,19.99531364440918
2025-09-04,1147.795166015625,1358.662353515625,203.0,19.899999618530273,20.393230438232422
2025-09-05,1167.584716796875,1407.7115478515625,205.0,20.450000762939453,22.432552337646484
2025-09-08,1167.584716796875,1402.8065185546875,203.5,20.700000762939453,24.47187614440918
2025-09-09,1187.374267578125,1481.2852783203125,207.5,20.100000381469727,24.422134399414062
2025-09-10,1212.1112060546875,1461.66552734375,210.0,20.299999237060547,24.820053100585938
2025-09-11,1226.9534912109375,1451.855712890625,214.5,22.299999237060547,24.869792938232422
2025-09-12,1246.7430419921875,1456.7606201171875,217.5,22.600000381469727,25.31744956970215
2025-09-15,1241.795654296875,1456.7606201171875,216.0,22.799999237060547,26.660415649414062
